"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2014","14.581","14.841","18.649","12.679","","-0.24%"
"01/11/2014","14.616","13.004","16.769","11.571","","16.59%"
"01/10/2014","12.536","15.949","21.164","12.225","","-17.23%"
"01/09/2014","15.146","10.900","16.427","10.535","","39.89%"
"01/08/2014","10.827","12.579","15.150","10.773","","-1.11%"
"01/07/2014","10.949","11.599","12.330","8.842","","-7.22%"
"01/06/2014","11.801","11.254","12.861","10.054","","6.77%"
"01/05/2014","11.053","12.217","13.751","10.777","","-10.55%"
"01/04/2014","12.356","12.268","13.530","10.721","","1.26%"
"01/03/2014","12.202","13.860","16.053","11.858","","-6.95%"
"01/02/2014","13.113","16.530","18.700","12.355","","-15.86%"
"01/01/2014","15.584","11.668","16.648","10.988","","34.79%"
"01/12/2013","11.562","13.016","19.141","10.675","","-9.83%"
"01/11/2013","12.822","12.263","14.942","12.057","","5.17%"
"01/10/2013","12.192","15.008","16.794","11.453","","-19.14%"
"01/09/2013","15.078","13.692","16.646","11.762","","2.54%"
"01/08/2013","14.705","14.278","16.081","11.729","","-0.11%"
"01/07/2013","14.721","18.112","21.147","12.025","","-16.56%"
"01/06/2013","17.643","16.815","21.998","16.312","","6.41%"
"01/05/2013","16.580","13.734","17.997","11.633","","15.24%"
"01/04/2013","14.387","14.564","15.924","10.157","","2.01%"
"01/03/2013","14.104","14.224","18.430","11.701","","-8.45%"
"01/02/2013","15.406","12.745","15.406","12.745","","19.69%"
"01/01/2013","12.872","12.872","12.872","12.872","","-12.45%"
"01/12/2012","14.703","14.703","14.703","14.703","","21.39%"
"01/11/2012","12.112","12.112","12.112","12.112","","-9.31%"
"01/10/2012","13.356","13.356","13.356","13.356","","15.34%"
"01/09/2012","11.580","11.580","11.580","11.580","","-30.01%"
"01/08/2012","16.546","16.546","16.546","16.546","","-2.71%"
"01/07/2012","17.007","17.007","17.007","17.007","","-4.72%"
"01/06/2012","17.850","17.850","17.850","17.850","","-22.33%"
"01/05/2012","22.983","22.983","22.983","22.983","","52.91%"
"01/04/2012","15.030","15.030","15.030","15.030","","3.19%"
"01/03/2012","14.565","14.565","14.565","14.565","","-17.45%"
"01/02/2012","17.644","17.644","17.644","17.644","","-6.64%"
"01/01/2012","18.898","18.898","18.898","18.898","","-23.97%"
"01/12/2011","24.856","24.856","24.856","24.856","","23.61%"
"01/11/2011","20.109","20.109","20.109","20.109","","-20.47%"
"01/10/2011","25.286","25.286","25.286","25.286","","-32.00%"
"01/09/2011","37.185","37.185","37.185","37.185","","30.23%"
"01/08/2011","28.553","28.553","28.553","28.553","","17.44%"
"01/07/2011","24.312","24.312","24.312","24.312","","31.35%"
"01/06/2011","18.509","18.509","18.509","18.509","","2.24%"
"01/05/2011","18.103","18.103","18.103","18.103","","-1.74%"
"01/04/2011","18.424","18.424","18.424","18.424","","24.60%"
"01/03/2011","14.786","14.786","14.786","14.786","","-14.93%"
"01/02/2011","17.382","17.382","17.382","17.382","","2.58%"
"01/01/2011","16.945","16.945","16.945","16.945","","5.63%"
"01/12/2010","16.042","16.042","16.042","16.042","","-14.34%"
"01/11/2010","18.727","18.727","18.727","18.727","","-7.82%"
"01/10/2010","20.315","20.315","20.315","20.315","","3.07%"
"01/09/2010","19.710","19.710","19.710","19.710","","-19.70%"
"01/08/2010","24.546","24.546","24.546","24.546","","18.41%"
"01/07/2010","20.729","20.729","20.729","20.729","","-27.51%"
"01/06/2010","28.594","28.594","28.594","28.594","","6.29%"
"01/05/2010","26.903","26.903","26.903","26.903","","27.33%"
"01/04/2010","21.128","21.128","21.128","21.128","","28.81%"
"01/03/2010","16.402","16.402","16.402","16.402","","-19.23%"
"01/02/2010","20.308","20.308","20.308","20.308","","-15.94%"
"01/01/2010","24.159","24.159","24.159","24.159","","42.46%"
"01/12/2009","16.959","16.959","16.959","16.959","","-29.02%"
"01/11/2009","23.894","23.894","23.894","23.894","","-5.78%"
"01/10/2009","25.359","25.359","25.359","25.359","","9.61%"
"01/09/2009","23.136","23.136","23.136","23.136","","-13.07%"
"01/08/2009","26.615","26.615","26.615","26.615","","8.38%"
"01/07/2009","24.558","24.558","24.558","24.558","","-0.82%"
"01/06/2009","24.760","24.760","24.760","24.760","","-10.15%"
"01/05/2009","27.556","27.556","27.556","27.556","","-8.53%"
"01/04/2009","30.127","30.127","30.127","30.127","","-16.34%"
"01/03/2009","36.010","36.010","36.010","36.010","","-1.51%"
"01/02/2009","36.563","36.563","36.563","36.563","","-8.02%"
"01/01/2009","39.749","39.749","39.749","39.749","","-5.17%"
"01/12/2008","41.917","41.917","41.917","41.917","","-4.30%"
"01/11/2008","43.802","43.802","43.802","43.802","","-19.07%"
"01/10/2008","54.126","54.126","54.126","54.126","","22.47%"
"01/09/2008","44.194","44.194","44.194","44.194","","85.41%"
"01/08/2008","23.836","23.836","23.836","23.836","","-5.98%"
"01/07/2008","25.351","25.351","25.351","25.351","","-5.29%"
"01/06/2008","26.766","26.766","26.766","26.766","","11.74%"
"01/05/2008","23.954","23.954","23.954","23.954","","-2.77%"
"01/04/2008","24.637","24.637","24.637","24.637","","-17.65%"
"01/03/2008","29.916","29.916","29.916","29.916","","-5.97%"
"01/02/2008","31.814","31.814","31.814","31.814","","-19.92%"
